days,moscow,volgodonsk
1 december,−2° −3° Облачно и слабый снег,+2° 0° Дождь
2 december,−2° −2° Облачно и слабый снег,+2° +1° Облачно
3 december,0° −1° Облачно и слабый снег,+3° +3° Облачно
4 december,0° −2° Облачно и слабый снег,+4° +2° Облачно
5 december,−1° −2° Облачно и слабый снег,+3° 0° Облачно
6 december,−1° −3° Облачно и слабый снег,+3° +2° Облачно
7 december,−3° −3° Облачно и слабый снег,+3° +1° Облачно
8 december,−2° −3° Облачно,+3° +1° Облачно
9 december,−2° −3° Облачно и слабый снег,+3° 0° Облачно
10 december,−2° −4° Облачно,+2° +1° Дождь
11 december,−3° −4° Облачно,+2° 0° Ясно
12 december,−3° −3° Облачно и слабый снег,+1° 0° Дождь
13 december,−3° −6° Облачно,0° −2° Облачно
14 december,−6° −7° Облачно,−2° −4° Облачно и слабый снег
15 december,−6° −6° Облачно,−2° −4° Облачно
16 december,−5° −7° Облачно,−3° −5° Ясно
17 december,−6° −6° Облачно и слабый снег,−2° −3° Облачно
18 december,−4° −4° Облачно,−1° −2° Облачно
19 december,−4° −5° Облачно и слабый снег,0° −1° Облачно
20 december,−3° −5° Облачно и слабый снег,+1° 0° Дождь
21 december,−4° −5° Облачно,−1° −2° Облачно
22 december,−3° −4° Облачно и слабый снег,−1° −1° Облачно и слабый снег
23 december,−4° −5° Облачно и слабый снег,+1° 0° Дождь
24 december,−4° −5° Облачно,0° −1° Облачно
25 december,−2° −2° Облачно и слабый снег,0° −1° Облачно и слабый снег
26 december,−2° −3° Облачно и слабый снег,+2° +1° Дождь
27 december,−3° −4° Облачно и слабый снег,+1° 0° Ясно
28 december,−4° −4° Облачно и слабый снег,+1° 0° Дождь
29 december,−3° −6° Облачно и слабый снег,0° −3° Облачно и слабый снег
30 december,−4° −5° Облачно,−2° −4° Облачно и слабый снег
31 december,−4° −5° Облачно,−2° −4° Облачно
